manufacturer,model,engine,transmission,drivetrain,fuel_type
Ford,Expedition EL King Ranch,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,RWD,Gasoline
Ford,Expedition EL King Ranch,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL King Ranch,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Eddie Bauer,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,RWD,Flexible Fuel
Ford,Expedition EL Limited,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Four-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,4WD,Gasoline
Ford,Expedition EL,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL Limited,"Triton 5.4L V-8 variable valve control, engine with 300HP",Automatic,Four-wheel Drive,E85 Flex Fuel
Ford,Expedition EL King Ranch,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL,5.4L V8 24V MPFI SOHC,6-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Expedition EL,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Expedition EL Limited,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL XL,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL XLT,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",6-SPEED A/T,Four-wheel Drive,Gasoline
Ford,Expedition EL King Ranch,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Expedition EL XLT,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Four-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Four-wheel Drive,E85 Flex Fuel
Ford,Expedition EL King Ranch,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic,Rear-wheel Drive,Gasoline
Ford,Expedition EL Limited,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Four-wheel Drive,Gasoline
Ford,Expedition EL Platinum,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,4WD,Gasoline
Ford,Expedition EL Eddie Bauer,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL XLT,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic 6-Speed,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL XLT,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL Eddie Bauer,"Triton 5.4L V-8 variable valve control, engine with 300HP",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL XLT,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,4WD,Flexible Fuel
Ford,Expedition EL Limited,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,4WD,Flexible Fuel
Ford,Expedition EL XL,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL Limited,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL XLT,5.4L SOHC SEFI 24-valve V8 engine,Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Rear-wheel Drive,Gasoline
Ford,Expedition EL King Ranch,5.4L V8 24V MPFI SOHC Flexible Fuel,6-Speed Automatic,RWD,Flexible Fuel
Ford,Expedition EL XLT,Flexible Fuel,Automatic,Rear-wheel Drive,
Ford,Expedition EL King Ranch,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Four-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Rear-wheel Drive,Gasoline
Ford,Expedition EL XLT,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL Limited,5.4L V8 24V MPFI SOHC,6-Speed Automatic,RWD,Gasoline
Ford,Expedition EL Limited,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",AUTOMATIC,Four-wheel Drive,Gasoline
Ford,Expedition EL King Ranch,5.4L V8 24V MPFI SOHC,6-Speed Automatic,RWD,Gasoline
Ford,Expedition EL Limited,5.4L V8,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Rear-wheel Drive,E85 Flex Fuel
Ford,Expedition EL XLT,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic 6-Speed,Four-wheel Drive,Gasoline
Ford,Expedition EL XL,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,RWD,Gasoline
Ford,Expedition EL Platinum,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",Automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL King Ranch,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,4WD,Gasoline
Ford,Expedition EL XLT,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",6-speed automatic,Four-wheel Drive,Gasoline
Ford,Expedition EL King Ranch,"Triton 5.4L V-8 variable valve control, engine with 310HP",Automatic,Four-wheel Drive,E85 Flex Fuel
Ford,Expedition EL Limited,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Four-wheel Drive,E85 Flex Fuel
Ford,Focus ST Base,2.0L I4 16V GDI DOHC Turbo,6-Speed Manual,Front-wheel Drive,Gasoline
Ford,Focus ST ST,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve",Manual,Front-wheel Drive,Gasoline
Ford,Focus ST,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve",6-Speed Manual,Front-wheel Drive,Gasoline
Ford,Focus ST,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve",Manual,Front-wheel Drive,Gasoline
Ford,Focus ST Base,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Front-wheel Drive,Gasoline
Ford,Focus ST Base,"2L I-4 gasoline direct injection, DOHC, variable valve control,",Manual,Front-wheel Drive,Gasoline
Ford,Focus ST ST,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve",Manual 6-Speed,Front-wheel Drive,Gasoline
Ford,Focus ST Base,2.0L I4 16V GDI DOHC Turbo,6-Speed Manual,FWD,Gasoline
Ford,Focus ST,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve",Manual 6-Speed,Front-wheel Drive,Gasoline
Ford,Focus ST Base,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Manual,Front-wheel Drive,Gasoline
Ford,Focus ST ST,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve","Manual, 6-Spd",Front-wheel Drive,Gasoline
Ford,Focus ST,2.0L L4 DOHC 16V,Automatic,Front-wheel Drive,Gasoline
Ford,E350 Super Duty Cargo,5.4L V8,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Base,255.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL,5.4L EFI V8 engine,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL,5.4L EFI OHC V8 engine,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,RWD,Flexible Fuel
Ford,E350 Super Duty Commercial,"5.4L SOHC EFI V8 ""Triton"" engine",Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL,V10 6.8L Gas Engine,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Commercial,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Super Duty Commercial,5.4L V8 16V MPFI SOHC Flexible Fuel,5-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Cargo,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Base,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL,5.4L EFI FFV V8 engine,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty,5.4L V8 16V MPFI SOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Chateau,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350 SD,5.4L 8 Cylinder Engine,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC Flexible Fuel,5-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty RV,6.0L V8 32V DDI OHV Turbo Diesel,5-Speed Automatic,Rear-wheel Drive,Diesel
Ford,E350 Super Duty XL,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL,V10 6.8L Gas Engine,Automatic,Rear-wheel Drive,
Ford,E350 Super Duty XL,6.8L V10 20V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350 DUTY,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350,6.8L V10 20V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty E-350 SD,"5.4L SOHC EFI V8 ""Triton"" engine",Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL,6.8L V10 20V MPFI SOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty E-350 DUTY CLIMATE CONTROL,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL Wagon,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Work Van,6.8L V10,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Work Van,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL Wagon,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,Regular Unleaded V-8 5.4 L/330,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty SPORTSMOBILE,6.0L V8 32V DDI OHV Turbo Diesel,Automatic,Rear-wheel Drive,Diesel
Ford,E350 Super Duty Base,305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,Triton 5.4L V-8 engine with 255HP,Automatic 4-Speed,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Base,255.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XL,5.4L V8 16V MPFI SOHC Flexible Fuel,5-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic with Overdrive,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty E-350 DUTY,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,6.8L V10 20V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Cargo Van,5.4L V8,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty 15 PASS.,5.4L V8 16V MPFI SOHC Flexible Fuel,5-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty E-350 SD,5.4L SOHC EFI flex fuel V8 engine,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty E-350 XLT. VAN. 6.0L V8 T-DIESEL,6.0L V8 32V DDI OHV Turbo Diesel,Automatic,Rear-wheel Drive,Diesel
Ford,E350 Super Duty E-350 DUTY,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty DUTY,5.4L V8 16V MPFI SOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350 SD,6.0L V8 Turbocharger,Automatic,Rear-wheel Drive,Diesel
Ford,E350 Super Duty Base,265.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Super Duty Recreational,5.4L V8 16V MPFI SOHC Flexible Fuel,5-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Recreational,6.0L V8 32V DDI OHV Turbo Diesel,5-Speed Automatic,Rear-wheel Drive,Diesel
Ford,E350 Super Duty Cargo,5.4L V8,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,5.4L EFI FFV V8 engine,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT,6.8L V10 20V MPFI SOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,5-Speed A/T,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Recreational,5.4L SOHC EFI flex fuel V8 engine,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XL,Triton 5.4L V-8 engine with 255HP,4-Speed Automatic with Overdrive,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Recreational,"5.4L (330) SOHC EFI V8 ""Triton"" engine",Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Base,"Powerstroke 7.3L V-8 diesel direct injection, intercooled turbo,",Automatic 4-Speed,Rear-wheel Drive,Diesel
Ford,E350 Super Duty XL,5.4L V8 16V MPFI SOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350 DUTY,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty XLT Extended Wagon,255.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty SD,5.4L SOHC EFI flex fuel V8 engine,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Base,Triton 5.4L V-8 engine with 255HP,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Commercial,5.4L V8 16V MPFI SOHC Flexible Fuel,4-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty RECREATIONAL,6.8L V10 20V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350,6.8L V10 20V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty DUTY,5.4L V8 16V MPFI SOHC Flexible Fuel,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty Commercial,5.4L SOHC EFI flex fuel V8 engine,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,E350 Super Duty RECREATIONAL,5.4L V8 16V MPFI SOHC,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty Base,Triton 6.8L V-10 engine with 305HP,Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty E-350 DUTY,5.4L V8 16V MPFI SOHC,6-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,E350 Super Duty XLT,Engine: 5.4L EFI V8 FFV Capable,Automatic,Rear-wheel Drive,E85 Flex Fuel
Ford,Thunderbird,3.9L V8 32V MPFI DOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Premium,"3.9L V-8 DOHC, variable valve control, engine with 280HP",Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Premium,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,Rear-wheel Drive,Gasoline
Ford,Thunderbird Premium,3.9L V8 32V MPFI DOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Deluxe,3.9L V8 32V MPFI DOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,,,,
Ford,Thunderbird Deluxe,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Rear-wheel Drive,Gasoline
Ford,Thunderbird Deluxe,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,Gas V8 3.9L/238,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,292 CID V8,3 Speed Automatic,,
Ford,Thunderbird Super,V6 Cylinder Engine,5 speed manual,Front-wheel Drive,Gasoline
Ford,Thunderbird E-CODE,8 312CI,Automatic,,
Ford,Thunderbird Deluxe,"3.9L V-8 DOHC, variable valve control, engine with 280HP",Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,"3.9 liter 32 valve V8 engine, 280 horsepower and 286 ft. lbs. of",Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,V8,Manual,Rear-wheel Drive,Gasoline
Ford,Thunderbird,V8,Automatic,,Gasoline
Ford,Thunderbird Premium,"3.9L V-8 DOHC, engine with 252HP",Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,8 Cylinder,3-Speed Manual,,Gasoline
Ford,Thunderbird Premium,"3.9L V-8 DOHC, engine with 252HP",5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,,Automatic,,
Ford,Thunderbird Base,351Wci Small Block,3 Speed Automatic,,
Ford,Thunderbird Base,312CI V8,2-spd Transmission Automatic,,
Ford,Thunderbird,4.8L,Automatic,,Gasoline
Ford,Thunderbird Premium,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Rear-wheel Drive,Gasoline
Ford,Thunderbird E CODE,8 312CI 2X4BBL,3-Speed Automatic,,
Ford,Thunderbird Premium,"3.9L V-8 DOHC, variable valve control, engine with 280HP",5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,390 CID V8,3 Speed Automatic,,
Ford,Thunderbird,6.4L V8,Automatic,,Gasoline
Ford,Thunderbird RESTOMOD,5.0L V8,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,312 ci V8,Automatic,,
Ford,Thunderbird Deluxe,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,312 V8,C4 Automatic,,
Ford,Thunderbird Base,"3.9L V-8 DOHC, variable valve control, engine with 280HP",5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird 50th Anniversary,3.9L V8 32V MPFI DOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,352  V8,Automatic,,
Ford,Thunderbird Super,3.8L V6 Supercharged,4-Speed Automatic,,Gasoline
Ford,Thunderbird Deluxe,"3.9L V-8 DOHC, engine with 252HP",Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Deluxe,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Rear-wheel Drive,Gasoline
Ford,Thunderbird,5.3L,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,352 CI V8,Automatic,,
Ford,Thunderbird Premium,3.9L V8 32V MPFI DOHC,5-Speed Automatic,RWD,Gasoline
Ford,Thunderbird TOWN HARDTOP,,Automatic,,
Ford,Thunderbird Base,5.8 352 CID 300 Hp V8,3 Speed Automatic,,
Ford,Thunderbird Deluxe,"3.9L V-8 DOHC, engine with 252HP",Automatic 5-Speed,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,332 cid V8,Automatic,,
Ford,Thunderbird Base,312 V-8 240 HP V8,Automatic,,
Ford,Thunderbird Base,351 CID,3- speed Automatic,,
Ford,Thunderbird Premium,"3.9L V-8 DOHC, variable valve control, engine with 280HP",5 Speed Automatic With Overdrive,Rear-wheel Drive,Gasoline
Ford,Thunderbird 50th Anniversary,"3.9L V-8 DOHC, variable valve control, engine with 280HP",Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Premium,"3.9L V-8 DOHC, engine with 252HP",5 Speed Automatic w/OD,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,V8,Automatic,,
Ford,Thunderbird,V8,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,3.8L V6 12V OHV,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,312 CID V8,2 Speed Automatic,,
Ford,Thunderbird Base,4.2 255 CID Windsor V8,4 Speed Automatic with O/D,,
Ford,Thunderbird,8 292CI,Automatic,,
Ford,Thunderbird LX,4.6L V8 16V MPFI SOHC,4-Speed Automatic,,Gasoline
Ford,Thunderbird Base,V-8 cyl,4 Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird 50th Anniversary,3.9L V8 DOHC 32V,5-Speed Automatic with SelectShift,Rear-wheel Drive,Gasoline
Ford,Thunderbird .,OTHER NOT SPECIFIED,OTHER,,
Ford,Thunderbird,347 STROKER,Automatic,,
Ford,Thunderbird 50th Anniversary,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,4.8L V8 292 ci,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,292 V8,3-speed Automatic,,
Ford,Thunderbird Base,390 V8,Automatic,,
Ford,Thunderbird,6.4L V8,3-Speed Automatic,,Gasoline
Ford,Thunderbird Base,417 CID V8,Automatic,,
Ford,Thunderbird Base,312 CID V8,3-Spd Manual,,
Ford,Thunderbird Base,312 CI V8,3 Speed Automatic,,
Ford,Thunderbird Base,390cid v8 V8,3spd auto Automatic,,
Ford,Thunderbird Super,3.8L V6 12V OHV Supercharged,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird w/Hardtop Premium,3.9L V8 32V MPFI DOHC,5-Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird 50th Anniversary,"3.9L V-8 DOHC, variable valve control, engine with 280HP",5 Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,390 CI V8,3 speed Automatic,,
Ford,Thunderbird Base,312 CID V8,3 speed Automatic,,
Ford,Thunderbird Base,292 CI V8,Automatic,,
Ford,Thunderbird,,Manual,,
Ford,Thunderbird Base,292 CID V8,3 Speed Manual,,
Ford,Thunderbird Base,312 V8,Automatic,,
Ford,Thunderbird HARDTOP,,Automatic,,
Ford,Thunderbird Premium,"3.9L V-8 DOHC, engine with 252HP",5-speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,292cid V8,2 Speed Fordmatic automatic,,
Ford,Thunderbird Base,V8 6.5L Natural Aspiration,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Premium,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Rear-wheel Drive,Gasoline
Ford,Thunderbird Premium,"3.9L V-8 DOHC, variable valve control, engine with 280HP",4-spd Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird LX,4.6L V-8 engine with 205HP,Automatic 4-Speed,Rear-wheel Drive,Gasoline
Ford,Thunderbird,6.4L 8 Cylinder,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,312ci V8,Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird,NOT SPECIFIED NOT SPECIFIED,3-Speed Automatic,Front-wheel Drive,
Ford,Thunderbird Base,390CI V8,Automatic,,
Ford,Thunderbird Base,292 V8,3 speed Automatic,,
Ford,Thunderbird Base,312ci V8,Automatic,Rear-wheel Drive,
Ford,Thunderbird Base,"3.9L V-8 DOHC, engine with 252HP",5 Speed Automatic,Rear-wheel Drive,Gasoline
Ford,Thunderbird Base,6.4L 390 V8,Automatic,,
